iter	Passed	Remaining
0	1	138
1	2	108
2	3	97
3	3	88
4	4	87
5	5	84
6	6	83
7	7	82
8	7	80
9	8	78
10	9	77
11	10	76
12	11	75
13	12	74
14	13	74
15	14	73
16	15	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	30	58
34	31	57
35	32	56
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	49
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	75	19
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	84	12
87	84	11
88	85	10
89	87	9
90	87	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
