iter	Passed	Remaining
0	144	144091
1	145	72699
2	146	48848
3	148	36910
4	149	29771
5	150	25005
6	152	21586
7	153	19022
8	154	17013
9	155	15412
10	156	14104
11	158	13081
12	160	12178
13	161	11383
14	162	10692
15	164	10088
16	165	9553
17	166	9072
18	167	8644
19	168	8258
20	169	7914
21	170	7599
22	172	7310
23	174	7100
24	175	6862
25	177	6636
26	178	6430
27	179	6233
28	180	6054
29	181	5883
30	183	5726
31	184	5576
32	185	5436
33	186	5306
34	188	5195
35	190	5100
36	191	4989
37	192	4883
38	194	4782
39	195	4687
40	196	4594
41	197	4509
42	198	4425
43	200	4349
44	201	4275
45	202	4202
46	205	4159
47	206	4094
48	207	4030
49	208	3968
50	210	3907
51	211	3849
52	212	3794
53	213	3746
54	215	3698
55	216	3649
56	217	3602
57	220	3575
58	221	3531
59	222	3488
60	223	3443
61	224	3400
62	225	3359
63	226	3319
64	228	3282
65	229	3248
66	231	3216
67	232	3182
68	234	3166
69	236	3141
70	237	3110
71	239	3080
72	240	3051
73	241	3024
74	243	3008
75	246	2995
76	247	2971
77	250	2959
78	251	2936
79	253	2911
80	254	2887
81	255	2862
82	256	2833
83	257	2811
84	259	2788
85	260	2766
86	261	2744
87	262	2723
88	264	2711
89	266	2691
90	267	2670
91	268	2650
92	269	2631
93	271	2613
94	272	2594
95	273	2576
96	274	2558
97	276	2541
98	277	2523
99	278	2510
100	280	2497
101	282	2482
102	283	2467
103	284	2452
104	285	2437
105	287	2421
106	288	2406
107	289	2391
108	290	2377
109	292	2362
110	294	2356
111	296	2348
112	297	2334
113	299	2324
114	300	2310
115	301	2297
116	302	2282
117	303	2270
118	304	2256
119	305	2243
120	307	2231
121	308	2217
122	310	2215
123	312	2204
124	313	2194
125	314	2182
126	315	2170
127	316	2158
128	318	2148
129	319	2137
130	320	2126
131	321	2115
132	322	2103
133	324	2097
134	326	2092
135	327	2081
136	328	2070
137	329	2059
138	330	2048
139	331	2038
140	332	2028
